Type,Area,Latitude,Longitude,Coordinates,Price(CZK),Region
4+kk,168,50.0578,14.2835,"(50.0579, 14.2835)",13750000,Zlicin
5+kk,220,50.0819,14.3755,"(50.0819, 14.3756)",24990000,Praha 6
4+kk,163,50.086,14.4693,"(50.086, 14.4693)",18950000,Praha 3
1+kk,40,50.1097,14.4463,"(50.1098, 14.4463)",4227095,Praha 7
4+kk,86,50.0449,14.3356,"(50.0449, 14.3357)",7599000,Praha 13
1+kk,35,50.073,14.4083,"(50.073, 14.4084)",5300000,Praha 5
3+kk,80,50.075,14.6507,"(50.0751, 14.6508)",8450000,Praha 21
2+1,67,50.1063,14.4911,"(50.1063, 14.4911)",5499000,Praha 9
2+kk,69,50.1045,14.4844,"(50.1046, 14.4845)",6699000,Praha 9
2+kk,40,50.0835,14.4341,"(50.0835, 14.4341)",3099000,Praha 1
3+kk,87,50.0953,14.4535,"(50.0954, 14.4536)",12068000,Praha 8
1+kk,22,50.0757,14.491,"(50.0757, 14.4911)",3245000,Praha 10
2+1,52,50.1085,14.5385,"(50.1086, 14.5386)",4600000,Praha 14
3+kk,81,50.0953,14.4535,"(50.0954, 14.4536)",11694000,Praha 8
2+1,75,50.0931,14.4592,"(50.0931, 14.4593)",8600000,Praha 8
4+kk,180,50.1045,14.3936,"(50.1045, 14.3936)",17500000,Praha 6
2+kk,165,50.0854,14.4209,"(50.0855, 14.421)",19000000,Praha 1
3+1,113,50.0845,14.4193,"(50.0846, 14.4194)",18500000,Praha 1
3+1,74,50.0872,14.4073,"(50.0873, 14.4073)",16500000,Praha 1
3+kk,151,50.0901,14.4243,"(50.0901, 14.4243)",22500000,Praha 1
3+kk,86,50.0222,14.4121,"(50.0222, 14.4122)",10036000,Praha 4
3+kk,117,50.0776,14.4067,"(50.0777, 14.4067)",18700000,Praha 5
4+1,212,50.0814,14.4449,"(50.0814, 14.4449)",24000000,Praha 3
4+kk,150,50.0919,14.4997,"(50.092, 14.4997)",15900000,Praha 9
1+1,50,50.0913,14.4452,"(50.0914, 14.4452)",5400000,Praha 8
4+kk,255,50.086,14.4693,"(50.086, 14.4693)",18950000,Praha 3
3+1,113,50.0795,14.4139,"(50.0795, 14.414)",15990000,Praha 1
3+kk,83,50.0708,14.4341,"(50.0708, 14.4342)",11950000,Praha 2
1+1,46,50.0913,14.4452,"(50.0914, 14.4452)",6200000,Praha 8
4+kk,137,50.0743,14.4255,"(50.0744, 14.4255)",14600000,Praha 2
4+kk,137,50.0809,14.4577,"(50.081, 14.4577)",14990000,Praha 3
2+1,71,50.1021,14.4781,"(50.1022, 14.4781)",6800000,Praha 8
2+1,76,50.0708,14.4341,"(50.0708, 14.4342)",8900000,Praha 2
5+kk,241,50.0708,14.4341,"(50.0708, 14.4342)",32000000,Praha 2
2+kk,63,50.0658,14.3937,"(50.0659, 14.3937)",8500000,Praha 5
3+kk,131,50.0582,14.3743,"(50.0582, 14.3743)",11900000,Praha 5
3+1,118,50.1015,14.4242,"(50.1015, 14.4242)",14650000,Praha 7
3+1,127,50.0827,14.4225,"(50.0828, 14.4226)",26000000,Praha 1
5+kk,170,50.0887,14.342,"(50.0888, 14.342)",16499000,Praha 6
3+kk,97,50.1017,14.5285,"(50.1017, 14.5286)",11000000,Praha 9
2+kk,60,50.1032,14.4499,"(50.1032, 14.45)",6900000,Praha 7
3+kk,114,50.0736,14.4342,"(50.0736, 14.4342)",17900000,Praha 2
3+kk,58,50.0669,14.3623,"(50.0669, 14.3623)",5830000,Praha 5
2+kk,67,50.0126,14.3493,"(50.0126, 14.3493)",5700000,Slivenec
3+1,121,50.0735,14.4449,"(50.0735, 14.4449)",16600000,Praha 2
2+kk,55,50.0683,14.4042,"(50.0683, 14.4042)",7345000,Praha 5
3+kk,54,50.1325,14.4109,"(50.1326, 14.4109)",4900000,Praha 8
