Title,Type,Area,Latitude,Longitude,Coordinates,Price(CZK)
"Byt 1+kk 33 m² k prodeji Bryksova, Praha - Černý Most; 3 469 000 Kč, nízkoenergetický, cihlová stavba, osobní vlastnictví, novostavby.",1+kk,33,50.1043,14.5854,"(50.1044, 14.5854)",3469000
"Byt 4+kk 129 m² k prodeji Praha 9 - Černý Most; 9 990 000 Kč, terasa, garáž, nízkoenergetický, cihlová stavba, osobní vlastnictví, novostavby.",4+kk,129,50.1057,14.5656,"(50.1057, 14.5656)",9990000
"Byt 3+kk 136 m² k prodeji Milevská, Praha 4 - Podolí; 23 000 000 Kč, terasa, parkovací místo, výtah, skeletová stavba, osobní vlastnictví, novostavby.",3+kk,136,50.0485,14.4373,"(50.0486, 14.4374)",23000000
"Byt 3+kk 81 m² k prodeji Rohanské nábřeží, Praha - Karlín; 11 856 000 Kč (Uvedená cena je včetně DPH, možnost přikoupení parkovacího stání od 575 000,-.), lodžie, výtah, bezbariérový, skeletová stavba, osobní vlastnictví, novostavby.",3+kk,81,50.0953,14.4535,"(50.0954, 14.4536)",11856000
"Byt 1+kk 37 m² k prodeji Donská, Praha - Vršovice; 3 700 000 Kč, cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",1+kk,37,50.0709,14.4472,"(50.071, 14.4472)",3700000
"Byt 3+kk 100 m² k prodeji Zvěřinova, Praha 3 - Strašnice; 9 600 000 Kč, lodžie, parkovací místo, výtah, cihlová stavba, osobní vlastnictví, novostavby.",3+kk,100,50.0846,14.4834,"(50.0847, 14.4834)",9600000
"Byt 4+1 178 m² k prodeji Jeseniova, Praha 3 - Žižkov; 14 900 000 Kč (Na vyžádání zašleme 3D sken bytu.), výtah, cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",4+1,178,50.0886,14.4699,"(50.0886, 14.47)",14900000
"Byt 2+kk 58 m² k prodeji Za Ženskými domovy, Praha - Smíchov; 8 176 000 Kč (cena obsahuje DPH a sklep, cena neobsahuje parkovací stání, které je možné přikoupit za cenu od 500.tis + DPH), lodžie, výtah, nízkoenergetický, skeletová stavba, osobní vlastnictví, ve výstavbě.",2+kk,58,50.0683,14.4042,"(50.0683, 14.4042)",8176000
"Byt 2+1 60 m² k prodeji Želivecká, Praha 10 - Záběhlice; 4 600 000 Kč (Bez odměny zprostředkovatele právní servis zdarma.), lodžie, výtah, panelová stavba, osobní vlastnictví, v dobrém stavu.",2+1,60,50.0603,14.4967,"(50.0603, 14.4968)",4600000
"Byt 2+kk 57 m² k prodeji Farkašova, Praha 9 - Kyje; 5 500 000 Kč (Bez odměny zprostředkovatele právní servis zdarma.), terasa, výtah, cihlová stavba, osobní vlastnictví, novostavby.",2+kk,57,50.1155,14.5631,"(50.1155, 14.5631)",5500000
"Byt 2+kk 43 m² k prodeji Anny Drabíkové, Praha 4 - Háje; 4 100 000 Kč (Bez odměny zprostředkovatele právní servis zdarma.), výtah, panelová stavba, osobní vlastnictví, ve velmi dobrém stavu.",2+kk,43,50.0334,14.5287,"(50.0335, 14.5287)",4100000
"Byt 1+kk 32 m² k prodeji Pod Lipami, Praha 3 - Žižkov; 4 100 000 Kč (Včetně provize a kompletního právního servisu. Neplatíte daň z nabytí.), výtah, cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",1+kk,32,50.0902,14.4920,"(50.0903, 14.4921)",4100000
"Byt 2+kk 45 m² k prodeji Borovanského, Praha 5 - Stodůlky; 4 300 000 Kč (Včetně provize a kompletního právního servisu. Neplatíte daň z nabytí.), výtah, bezbariérový, panelová stavba, osobní vlastnictví, ve velmi dobrém stavu.",2+kk,45,50.0382,14.3421,"(50.0383, 14.3422)",4300000
"Byt 3+kk 67 m² k prodeji Janovská, Praha 10 - Horní Měcholupy; 4 999 999 Kč, lodžie, výtah, panelová stavba, osobní vlastnictví, v dobrém stavu.",3+kk,67,50.0384,14.5654,"(50.0385, 14.5655)",4999999
"Byt 4+kk 111 m² k prodeji Vorařská, Praha 4 - Modřany; 10 874 000 Kč (konečná cena včetně DPH, možnost dokoupení garážového stání za 345.000,-, včetně DPH), balkón, lodžie, výtah, bezbariérový, nízkoenergetický, skeletová stavba, osobní vlastnictví, ve výstavbě.",4+kk,111,50.0135,14.3998,"(50.0136, 14.3998)",10874000
"Byt 2+kk 50 m² k prodeji Šífařská, Praha 4 - Hodkovičky; 4 916 235 Kč (včetně DPH), balkón, výtah, bezbariérový, cihlová stavba, osobní vlastnictví, ve výstavbě.",2+kk,50,50.0209,14.4026,"(50.021, 14.4027)",4916235
"Byt 2+1 68 m² k prodeji Zárubova, Praha 4 - Kamýk; 5 100 000 Kč, balkón, panelová stavba, osobní vlastnictví, ve velmi dobrém stavu.",2+1,68,50.0157,14.4356,"(50.0158, 14.4357)",5100000
"Byt 3+kk 97 m² k prodeji Společná, Praha 8 - Libeň; 9 200 000 Kč, balkón, výtah, bezbariérový, cihlová stavba, osobní vlastnictví, v dobrém stavu.",3+kk,97,50.1253,14.4753,"(50.1254, 14.4753)",9200000
"Byt 3+kk 78 m² k prodeji Rohanské nábřeží, Praha - Karlín; 9 527 000 Kč (Uvedená cena je včetně DPH, možnost přikoupení parkovacího stání od 575 000,-.), terasa, výtah, bezbariérový, skeletová stavba, osobní vlastnictví, novostavby.",3+kk,78,50.0953,14.4535,"(50.0954, 14.4536)",9527000
"Byt 3+kk 99 m² k prodeji Pod Slovany, Praha 2 - Nové Město; 11 900 000 Kč (cena včetně právního a realitního servisu), balkón, výtah, cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",3+kk,99,50.0698,14.4169,"(50.0699, 14.417)",11900000
"Byt 1+kk 51 m² k prodeji Kardausova, Praha 10 - Dolní Měcholupy; 5 180 000 Kč (včetně provize a právního servisu poskytnutého advokátní kanceláří), balkón, garáž, výtah, cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",1+kk,51,50.0659,14.5507,"(50.066, 14.5508)",5180000
"Byt 1+kk 27 m² k prodeji Chmelová, Praha 10 - Záběhlice; 2 990 000 Kč ( V případě více zájemců může RK využít pro výběr kupujícího formu aukce.), výtah, panelová stavba, osobní vlastnictví, ve velmi dobrém stavu.",1+kk,27,50.0589,14.4960,"(50.0589, 14.4961)",2990000
"Byt 3+kk 67 m² k prodeji Pomořanská, Praha 8 - Troja; 5 500 000 Kč, výtah, bezbariérový, panelová stavba, osobní vlastnictví, v dobrém stavu.",3+kk,67,50.1264,14.4139,"(50.1264, 14.4139)",5500000
"Byt 3+kk 65 m² k prodeji Na Zámyšli, Praha 5 - Košíře; 3 450 000 Kč (Cena včetně provize a právních služeb), cihlová stavba, osobní vlastnictví, v dobrém stavu.",3+kk,65,50.0695,14.3740,"(50.0695, 14.374)",3450000
"Byt 3+kk 157 m² k prodeji Voskovcova, Praha 5 - Hlubočepy; 8 290 000 Kč (Včetně provize a právního servisu), parkovací místo, garáž, výtah, bezbariérový, cihlová stavba, osobní vlastnictví, novostavby.",3+kk,157,50.0297,14.3689,"(50.0297, 14.369)",8290000
"Byt 1+kk 16 m² k prodeji Španělská, Praha 2 - Vinohrady; 2 970 000 Kč (plus provize, včetně právního servisu, + provize RK, včetně právního servisu), cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",1+kk,16,50.0793,14.4341,"(50.0793, 14.4341)",2970000
"Byt 1+kk 16 m² k prodeji Španělská, Praha 2 - Vinohrady; 2 970 000 Kč (plus provize, včetně právního servisu, + provize RK, včetně právního servisu), cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",1+kk,16,50.0793,14.4341,"(50.0793, 14.4341)",2970000
"Byt 1+kk 15 m² k prodeji Španělská, Praha 2 - Vinohrady; 2 970 000 Kč (plus provize, včetně právního servisu, + provize RK, včetně právního servisu), cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",1+kk,15,50.0793,14.4341,"(50.0793, 14.4341)",2970000
"Byt 2+kk 58 m² k prodeji Rohanské nábřeží, Praha - Karlín; 8 161 000 Kč (Uvedená cena je včetně DPH, možnost přikoupení parkovacího stání od 575 000,-.), lodžie, výtah, bezbariérový, skeletová stavba, osobní vlastnictví, novostavby.",2+kk,58,50.0953,14.4535,"(50.0954, 14.4536)",8161000
"Byt 4+kk 155 m² k prodeji Za Ženskými domovy, Praha - Smíchov; 22 317 000 Kč (cena obsahuje DPH a sklep, cena neobsahuje parkovací stání, které je možné přikoupit za cenu od 500.tis + DPH), lodžie, výtah, nízkoenergetický, skeletová stavba, osobní vlastnictví, ve výstavbě.",4+kk,155,50.0683,14.4042,"(50.0683, 14.4042)",22317000
"Byt 2+kk 58 m² k prodeji Plzákova, Praha 9 - Kbely; 5 490 000 Kč (Včetně provize a právního servisu.), terasa, lodžie, parkovací místo, výtah, bezbariérový, cihlová stavba, osobní vlastnictví, novostavby.",2+kk,58,50.1322,14.5359,"(50.1323, 14.536)",5490000
"Byt 2+1 46 m² k prodeji Zenklova, Praha 8 - Libeň; 5 200 000 Kč (Cena je uvedena včetně provize RK), cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",2+1,46,50.1118,14.4754,"(50.1119, 14.4754)",5200000
"Byt 3+1 78 m² k prodeji Grussova, Praha 5 - Hlubočepy; 6 200 000 Kč, balkón, výtah, panelová stavba, osobní vlastnictví, ve velmi dobrém stavu.",3+1,78,50.0360,14.3732,"(50.0361, 14.3732)",6200000
"Byt 4+1 125 m² k prodeji Holečkova, Praha 5 - Smíchov; 10 900 000 Kč (Cena je uvedena bez provize RK a právních služeb, info na telefonu.), balkón, terasa, cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",4+1,125,50.0717,14.3832,"(50.0717, 14.3833)",10900000
"Byt 3+kk 93 m² k prodeji Vorařská, Praha 4 - Modřany; 8 754 000 Kč (konečná cena včetně DPH, možnost dokoupení garážového stání za 345.000,-, včetně DPH), balkón, lodžie, výtah, bezbariérový, nízkoenergetický, skeletová stavba, osobní vlastnictví, novostavby.",3+kk,93,50.0135,14.3998,"(50.0136, 14.3998)",8754000
"Byt 1+kk 35 m² k prodeji Drnovská, Praha 6 - Ruzyně; 3 695 687 Kč (Uvedená cena nezahrnuje garážové stání, parkovací stání a případně komoru, sklep.), lodžie, výtah, cihlová stavba, osobní vlastnictví, novostavby.",1+kk,35,50.0909,14.2975,"(50.0909, 14.2975)",3695687
"Byt 3+1 80 m² k prodeji Koněvova, Praha 3 - Žižkov; 7 200 000 Kč ( V případě více zájemců může RK využít pro výběr kupujícího formu aukce.), výtah, bezbariérový, cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",3+1,80,50.0919,14.4803,"(50.0919, 14.4804)",7200000
"Byt 3+1 90 m² k prodeji Vánková, Praha 8 - Čimice; 5 300 000 Kč (+ anuita ve výši 945.000,- Kč. V případě více zájemců může RK využít pro výběr kupujícího formu aukce.), balkón, výtah, panelová stavba, družstevní vlastnictví, ve velmi dobrém stavu.",3+1,90,50.1389,14.4287,"(50.139, 14.4287)",5300000
"Byt 3+1 76 m² k prodeji Praha 8 - Libeň; 5 950 000 Kč (cena včetně provize a kompletního právního servisu), lodžie, výtah, panelová stavba, osobní vlastnictví, ve velmi dobrém stavu.",3+1,76,50.1060,14.4766,"(50.1061, 14.4767)",5950000
"Byt 1+1 50 m² k prodeji Na hroudě, Praha 10 - Strašnice; 5 250 000 Kč (Cena včetně všech poplatků.), balkón, cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",1+1,50,50.0708,14.4876,"(50.0708, 14.4877)",5250000
"Byt 3+1 114 m² k prodeji Korunní, Praha 3 - Vinohrady; 13 990 000 Kč, výtah, cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",3+1,114,50.0753,14.4494,"(50.0754, 14.4495)",13990000
"Byt 3+kk 70 m² k prodeji Masná, Praha 1 - Staré Město; 10 600 000 Kč ( V případě více zájemců může RK využít pro výběr kupujícího formu aukce.), cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",3+kk,70,50.0893,14.4233,"(50.0894, 14.4234)",10600000
"Byt 2+kk 61 m² k prodeji Rohanské nábřeží, Praha - Karlín; 8 708 000 Kč (Uvedená cena je včetně DPH, možnost přikoupení parkovacího stání od 575 000,-.), terasa, výtah, bezbariérový, skeletová stavba, osobní vlastnictví, novostavby.",2+kk,61,50.0953,14.4535,"(50.0954, 14.4536)",8708000
"Byt 2+1 57 m² k prodeji Praha 4 - Nusle; 5 490 000 Kč (cena včetně provize a kompletního právního servisu), výtah, cihlová stavba, osobní vlastnictví, v dobrém stavu.",2+1,57,50.0567,14.4420,"(50.0567, 14.4421)",5490000
"Byt 3+kk 130 m² k prodeji Praha 4; 13 350 000 Kč (včetně DPH, včetně poplatků, včetně provize, včetně právního servisu), terasa, výtah, cihlová stavba, osobní vlastnictví, novostavby.",3+kk,130,50.0406,14.4360,"(50.0406, 14.4361)",13350000
"Byt 3+1 73 m² k prodeji Pod Strání, Praha - Strašnice; 5 980 000 Kč, balkón, parkovací místo, panelová stavba, osobní vlastnictví, ve velmi dobrém stavu.",3+1,73,50.0692,14.5022,"(50.0692, 14.5023)",5980000
"Byt 3+kk 69 m² k prodeji Za návsí, Praha 10 - Záběhlice; 6 465 000 Kč ( V případě více zájemců může RK využít pro výběr kupujícího formu aukce.), lodžie, parkovací místo, výtah, smíšená stavba, družstevní vlastnictví, ve velmi dobrém stavu.",3+kk,69,50.0554,14.4896,"(50.0554, 14.4897)",6465000
